Temperaturlogger wurde am 01.12.2022 um 16:59:45 gestartet.;;;;
Zeitstempel;Sensor 1 [°C];Sensor 2 [°C];Sensor 3 [°C];Sensor 4 [°C]
01.12.2022 17:03:08;37,666;19,432;17,375;20,338
01.12.2022 17:06:08;38,073;19,499;17,375;20,406
01.12.2022 17:09:08;38,243;19,634;17,375;20,609
01.12.2022 17:12:08;38,345;20,005;17,375;20,643
01.12.2022 17:15:08;38,005;19,803;17,307;20,541
01.12.2022 17:18:08;37,904;19,6;17,172;20,474
01.12.2022 17:21:08;37,972;19,668;17,173;20,406
01.12.2022 17:24:08;37,666;19,465;17,071;20,372
01.12.2022 17:27:08;37,462;19,432;17,071;20,304
01.12.2022 17:30:08;37,666;19,432;16,937;20,237
01.12.2022 17:33:09;37,87;19,634;16,97;20,169
01.12.2022 17:36:09;37,768;19,195;16,903;20,169
01.12.2022 17:39:09;37,53;19,364;16,869;20,135
01.12.2022 17:42:09;37,293;19,33;16,835;20,101
01.12.2022 17:45:09;37,7;19,128;16,802;20,067
01.12.2022 17:48:09;37,564;19,229;16,768;20,034
01.12.2022 17:51:09;37,666;19,33;16,768;20,034
01.12.2022 17:54:09;37,598;19,33;16,701;19,966
01.12.2022 17:57:09;37,157;19,33;16,667;19,966
01.12.2022 18:00:09;37,394;19,162;16,633;19,898
01.12.2022 18:03:09;37,768;19,162;16,6;19,898
01.12.2022 18:06:09;37,938;19,128;16,633;19,898
01.12.2022 18:09:09;38,107;19,094;16,6;19,864
01.12.2022 18:12:09;38,005;19,128;16,6;19,831
01.12.2022 18:15:09;37,496;19,094;16,465;19,797
01.12.2022 18:18:09;37,632;19,094;16,566;19,797
01.12.2022 18:21:09;37,938;19,195;16,431;19,797
01.12.2022 18:24:09;37,632;18,926;16,465;19,763
01.12.2022 18:27:09;37,87;19,162;16,465;19,763
01.12.2022 18:30:09;37,632;18,892;16,431;19,763
01.12.2022 18:33:09;37,462;18,993;16,465;19,729
01.12.2022 18:36:09;38,175;18,69;16,397;19,695
01.12.2022 18:39:09;37,326;18,993;16,431;19,729
01.12.2022 18:42:09;37,462;18,791;16,431;19,729
01.12.2022 18:45:09;37,972;18,656;16,431;19,695
01.12.2022 18:48:09;37,734;18,69;16,397;19,662
01.12.2022 18:51:09;37,972;18,858;16,397;19,661
01.12.2022 18:54:09;37,564;18,892;16,397;19,695
01.12.2022 18:57:09;37,7;18,858;16,364;19,628
01.12.2022 19:00:09;38,005;18,454;16,263;19,628
01.12.2022 19:03:09;39,126;19,027;16,397;19,628
01.12.2022 19:06:09;38,82;19,027;16,364;19,628
01.12.2022 19:09:09;39,058;19,094;16,397;19,594
01.12.2022 19:12:09;38,922;19,195;16,397;19,594
01.12.2022 19:15:09;38,854;19,195;16,397;19,628
01.12.2022 19:18:09;38,922;19,364;16,431;19,628
01.12.2022 19:21:09;38,685;19,33;16,465;19,628
01.12.2022 19:24:09;38,141;19,398;16,465;19,628
01.12.2022 19:27:09;36,987;19,364;16,465;19,661
01.12.2022 19:30:09;35,019;19,432;16,499;19,661
01.12.2022 19:33:09;33,798;19,364;16,431;19,662
01.12.2022 19:36:09;32,849;19,398;16,465;19,661
01.12.2022 19:39:09;32,103;19,432;16,498;19,695
01.12.2022 19:42:09;31,798;19,364;16,498;19,662
01.12.2022 19:45:09;31,73;19,398;16,532;19,695
01.12.2022 19:48:09;31,595;19,499;16,566;19,729
01.12.2022 19:51:09;31,358;19,499;16,566;19,763
